Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000089-1;Placa Mãe Gigabyte Ud Z790, Intel Lga 1700 Atx, 4xddr5;1989;https://http2.mlstatic.com/D_689216-MLU69353902779_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000090;ASUS Placa-mãe ATX Prime Z790-P WiFi LGA 1700 (Intel® 13ª e 12ª geração) (PCIe 5.0, DDR5,14+1 Power Stages, 3X M.2, WiFi;2640;https://http2.mlstatic.com/D_885462-MLU73470744722_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000090-1;Placa Mãe Asus Prime Z790-p, Intel Lga 1700 Atx, 4xddr5;2099;https://http2.mlstatic.com/D_714275-MLU69345292120_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000090-2;Placa-mãe Asus Prime Z790-p Wifi D4 Lga 1700 Atx;2249;https://http2.mlstatic.com/D_809326-MLU69353903383_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000090-3;Placa Mãe Asus Prime Intel  Ddr4 Z790-p D4 Lga 1700 Atx Hdmi;1699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000091;Placa Mãe Gigabyte Z790 Gaming X Ax Ddr5 Wifi6e 2.5gb Lan Cor Preto;2790;https://http2.mlstatic.com/D_785482-MLU70800707747_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000092;GIGABYTE Z790 AORUS Elite AX (LGA 1700/ Intel Z790/ ATX/DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/Intel WiFi 6E/ 2;3519;https://http2.mlstatic.com/D_807534-MLU54963017512_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000092-1;Placa Branca Gigabyte Z790 A Elite Ax Ice D5 1700 Atx;2959;https://http2.mlstatic.com/D_927061-MLU74464218679_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000093;ASUS ROG MAXIMUS Z790 HERO - Placa mãe Intel LGA 1700 ATX (VRM de 20 + 1 fases, DDR5, cinco ranhuras M.2, PCIe 5.0, port;5839;https://http2.mlstatic.com/D_652764-MLU73474132910_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000093-1;Placa Mãe Asus Rog Maximus Z790 Formula Wifi 7 Lga 1700 Cor Branco;7379;https://http2.mlstatic.com/D_913998-MLU73464826478_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000093-2;Placa Mãe Asus Rog Maximus Z790 Hero Dark Wifi 7 Lga 1700 Cor Preto;6689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000094;PLACA MAE (AMD) GIGABYTE X670 AORUS ELITE AX DDR5 AM5;3320;https://http2.mlstatic.com/D_665793-MLU54966538992_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000094-1;Placa Mãe Gigabyte X670e Aorus Master, Amd, Am5, E-atx, Ddr5 Cor Preto;4599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000095;X 670-E  PLUS  ASUS TUF GAMING DDR 5 sem wi fi;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000095-1;Placa Mãe Asus Prime X670-p, Amd Socket Am5 Atx, 4xddr5 - Preto;2349;https://http2.mlstatic.com/D_892803-MLU74073050638_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000095-2;Placa Mae Asus Prime X670-p Wifi, 4x Ddr5, M.2 Pcie5.0 Wifi6;2340;https://http2.mlstatic.com/D_681146-MLU69345290910_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000095-3;Placa Mãe Asrock Pro Rs X670e, Amd Socket Am5 Atx, 4xddr5 Cor Preto;2949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000096;Placa Mãe Biostar Z790A-SILVER DDR5 LGA1700;1879;https://http2.mlstatic.com/D_764528-MLU70212208029_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000097;PLACA MAE ROG STRIX Z690-F GAMING WIFI 90MB18M0-M0EAY0;5399;https://http2.mlstatic.com/D_653288-MLU69345311420_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000098;Placa Mãe Asus ROG STRIX Z690-G 90MB19G0M0EAY0;4450;https://http2.mlstatic.com/D_862370-MLU54959125809_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000099;ROG Strix X670E-F Gaming WiFi;4450;https://http2.mlstatic.com/D_777351-MLU70641308776_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000099-1;Asus Rog Strix X670e-a Gaming Wifi, Am5, Atx, 4 Ddr5, Wi-fi Cor Branca;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000099-6;Placa Mãe Asus Rog Strix Gaming Wifi X670e - E Socket Am5 - Preto;4479;https://http2.mlstatic.com/D_777351-MLU70641308776_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000010;Computador Amd  Athlon 3000g Mem 8gb Ssd 120;1699;https://http2.mlstatic.com/D_802796-MLB51590568006_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000100;Placa Mãe Asus Proart Z790-creator Wifi Lga1700 -;4749;https://http2.mlstatic.com/D_864400-MLB54793815384_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000101;Placa Mãe Asrock Z790 Steel Legend Wifi Lga1700 Ddr5;2559;https://http2.mlstatic.com/D_952498-MLB74023745384_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000102-2;Placa Mãe Asrock Z790 Pg Lightning Lga 1700 Intel Z790 Ddr5;2090;https://http2.mlstatic.com/D_987851-MLB52321368296_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000102-3;Placa Mãe Asrock Z790 Pg Lightning D4 Lga 1700, Atx, Ddr4;2409;https://http2.mlstatic.com/D_654800-MLB52398015558_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000103;Placa Mãe Gigabyte Z790 Ud Ax Lga 1700 Ddr5 Cor Preto;3510;https://http2.mlstatic.com/D_607961-MLU70500936198_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000104;Placa Mãe Asus Tuf Gaming Z690-plus Wifi Lga 1700 Ddr4;2299;https://http2.mlstatic.com/D_685877-MLU71131870473_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000105;Placa Mae Asus Rog Maximus Z690 Hero Ddr5 Socket Lga1700;5399;https://http2.mlstatic.com/D_919899-MLU54965470000_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000106;Placa Mae Rog Strix Z790-a Gaming Wifi Ddr5 Lga1700 Intel Cor Prateado;3315;https://http2.mlstatic.com/D_725922-MLU70138572335_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000107;Placa Mãe Asus Rog Strix Z790-e Gaming Wifi Lga 1700atx Ddr5;4749;https://http2.mlstatic.com/D_856290-MLU69345290616_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000108;Placa Mãe Asus Prime B760-plus D4 Lga 1700 Ddr4 Cor Preto;1349;https://http2.mlstatic.com/D_865015-MLB70011497895_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000108-1;Placa Mãe Gigabyte B760m Ds3h Intel Lga 1700 Ddr5;1350;https://http2.mlstatic.com/D_943711-MLB73413912618_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000108-2;Placa-mãe Asus Prime B760m-k D4 Intel 1700 Pcie 4.0 Pcreg Preta;1099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000109;Placa Mãe Asus Tuf Gaming B760-plus Wifi D4 Ddr4 Lga1700 Cor Preto;1804;https://http2.mlstatic.com/D_704240-MLU70768792894_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000109-6;Placa Mãe Asus Tuf Gaming B760m-btf Wi-fi D4 Lga 1700 ;1699;https://http2.mlstatic.com/D_816819-MLB73665102483_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000109-7;Placa Mae Asus Tuf B760m-plus Wifi Ddr4 Lga 1700 13ª 12ª Gen Cor Preto;1599;https://http2.mlstatic.com/D_627101-MLB73665126465_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000109-8;Placa Mãe Asus Tuf Gaming B760-plus Wifi Ddr5 - Preto;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000110;Placa Mãe Gigabyte B660 Aorus Master Wi-fi Ddr4 Lga1700 Cor Preto;1899;https://http2.mlstatic.com/D_936839-MLU70623892842_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000110-1;Placa Mãe Asus Prime B660m-a D4 Intel Lga 1700 Micro Atx Cor Preto;1259;https://http2.mlstatic.com/D_923564-MLU70634033784_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000110-2;Placa Mae Asusprime B660m-k D4 Ddr4 Socket Lga1700 M-atx;1050;https://http2.mlstatic.com/D_900030-MLU54959159003_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000111;Placa Mae Asus Prime Z690-p Wifi Lga 1700 Ddr5+nfe Cor Preto;2099;https://http2.mlstatic.com/D_709137-MLU70661217651_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000011-1;Placa Mãe Asus Prime B660m-a Wifi D4, Intel Lga 1700 Ddr4;1359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000114-1;Placa Mãe Msi Pro Z790-p Wi-fi Ddr4 Socket Lga 1700 Cor Preta;1999;https://http2.mlstatic.com/D_708517-MLB73526786495_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000115;Placa Mãe Asus Rog Strix Z790-f Gaming Wifi 1700 12 13ª Ddr5;3872;https://http2.mlstatic.com/D_736033-MLU73475306980_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000116;Placa Mãe Asus Rog Strix Z790-h Gaming Wifi 1700 12 13ª Ddr5 Cor Preto;3152;https://http2.mlstatic.com/D_651430-MLU73460623546_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000117;Placa Mãe Asus Tuf Gaming Z790-plus Wifi Lga 1700 Atx 4xddr5 Cor Preto;2756;https://http2.mlstatic.com/D_987724-MLU70898123211_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000118;Placa Mãe Rog Strix B760-f Gaming Wifi 6 Asus-lga 1700 Ddr5;2435;https://http2.mlstatic.com/D_812139-MLU69345310790_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000119;Placa Mãe Gigabyte Z690 Gaming X - Intel 1700 - Ddr4 - Atx Cor Preto;1988;https://http2.mlstatic.com/D_873229-MLU70624089142_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000120;Placa Mãe Prime Z690-a Lga 1700 Atx Ddr5 90mb18l0-m0eay0;1713,85;https://http2.mlstatic.com/D_762565-MLB53497668211_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000121;Placa Mãe B560m Plus Tuf Gaming - Preto;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000122;Placa Mae Asus Prime B560-plus Intel 1200 10/11ger Atx;1068,46;https://http2.mlstatic.com/D_712628-MLB49022450392_022022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000123;Placa Mãe Asus Pro B560m-c Csm Socket Lga 1200 / Ddr4;992,31;https://http2.mlstatic.com/D_844904-MLB71675243156_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000124;Placa Mãe Gigabyte Aorus Elite Z790 Aorus Elite Ax Ddr4 - Preto;2599;https://http2.mlstatic.com/D_807534-MLU54963017512_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000124-1;Placa Mãe Z 790 AORUS PRO X DDR 5 Branco;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000125;Placa Mãe Gigabyte Aorus Master Z790 Intel Lga 1700 E-atx;5270;https://http2.mlstatic.com/D_987815-MLU69806283547_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000125-2;Placa Mãe Gigabyte Z790 Aorus Master X Lga 1700 Ddr5 Wifi 7 - Preto;4277;https://http2.mlstatic.com/D_841710-MLU73410792360_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000125-3;Placa Mãe Gigabyte Z790 Aorus  Xtreme Lga 1700 Z790 Ddr5;12325;https://http2.mlstatic.com/D_788251-MLB73437066848_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000125-4;Z 790 APEX ENCORE MAXIMUS WI FI 7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000126;Placa Mãe Asus Rog Strix B760-g Gaming Wifi 1700 12 13ª Ddr4 Cor Branca;1986;https://http2.mlstatic.com/D_893162-MLU73625180949_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000127;Placa Mãe Asus Prime A620m-a - Preto;0;https://http2.mlstatic.com/D_697748-MLU74141673755_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000128;Placa Mãe Gigabyte A620m S2h Amd Am5 Ddr5 - Preto;980;https://http2.mlstatic.com/D_673146-MLU73556474347_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000129;Placa Mãe A620m Gaming X Ddr5 Wi-fi  Amd Am5 Ryzen - Preto;1279;https://http2.mlstatic.com/D_718152-MLU73503628627_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000131;Placa Mãe Asus Rog Strix B760-g Gaming Wi-fi Lga 1700 Ddr5nf - Preto;2120;https://http2.mlstatic.com/D_966338-MLU73411033030_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000132;Placa Mãe Asus Proart B760-creator Wifi Lga1700 12º/13º/14º - Preto;2190;https://http2.mlstatic.com/D_829091-MLU74275959749_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000132-2;"PLACA MAE INTEL GIGABYTE B760 AORUS ELITE DDR4 10 LGA1700 12 E 13 GERACAO	";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000133;Placa Mãe Asus Tuf Gaming H770-pro Wifi Lga 1700 Ddr5;1890;https://http2.mlstatic.com/D_982369-MLB74200670601_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000014;Pc Gamer Completo Amd Ryzen 5 Pro 4650g 16gb Vega 7 Nvme 500;4189;https://http2.mlstatic.com/D_686690-MLB51590721119_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000015;Pc Gamer Amd Ryzen 5 Pro 4650g 16gb Vega 7 Ssd 240gb;3299;https://http2.mlstatic.com/D_782317-MLB51590770769_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000016;Pc Gamer Amd Ryzen 5 Pro 4650g 16gb Vega 7 Ssd 480gb;3299;https://http2.mlstatic.com/D_863212-MLB51590837584_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000052;Placa Mãe Asus Prime H510m-e Intel Lga 1200 Matx 10ger/11ger;869;https://http2.mlstatic.com/D_928956-MLB49022057144_022022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000054-2;Placa-mãe Msi A520m-a Pro Am4 Matx Ddr4 Hdmi Dvi M.2;549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000092-2;Placa Mãe Gigabyte Z790 Aorus Elite X Lga 1700 Ddr5 Wifi 7 Cor Sc;3149;https://http2.mlstatic.com/D_682044-MLU73983193100_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000099-9;Placa Mãe Asus Rog Crosshair X670e Hero Wi-fi Am5 Atx;6200;https://http2.mlstatic.com/D_833604-MLB72176927844_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001000;Intel Processador Core i9-13900KF Desktop 24 núcleos (8 P-core + 16 E-cores) 36 M Cache, até 5,8 GHz;4919;https://http2.mlstatic.com/D_643227-MLB69492304009_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001000-1;Processador Intel Core I9 14900 Kf   S1700 6,0 Ghz 36mb Box;4790;https://http2.mlstatic.com/D_831406-MLB72477701264_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001000-2;PROCESSADOR INTEL CORE I914900K TURBO ATE 60GHz 36MB LGA1700 14 GERACAO BX8071514900K;0;https://http2.mlstatic.com/D_885151-MLB72861759904_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001000-3;Processador Intel Core I9-14900 De 5,8 Ghz Lga 1700 Bx8071514900;4749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001001;Processador Intel Core i9 13900k, 5.80ghz Max Turbo, 24-core, Lga1700;4789;https://http2.mlstatic.com/D_950532-MLB52519429167_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001001-9;Processador Intel I9-13900ks Bx8071513900ks  Edição Especial;5989;https://http2.mlstatic.com/D_650922-MLB72385577830_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001002;PROCESSADOR INTEL CORE I9-12900K 3.20GHZ (TURBO 5.2GHZ) 30MB CACHE, 16 NÚCLEOS, 24 THREADS LGA1700 BX8071512900K;3906,5;https://http2.mlstatic.com/D_719760-MLB53564221287_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001003;Processador Intel Core I9-12900kf Bx8071512900kf De 16 Núcleos E  5.2ghz De Frequência;5323;https://http2.mlstatic.com/D_936589-MLB52194728058_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001003-1;Processador Gamer Intel Core I9-12900 Bx8071512900;3850;https://http2.mlstatic.com/D_604211-MLB72385077744_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001004;Processador Gamer Intel Core I9-12900f Bx8071512900f  De 16 Núcleos E  5.1ghz De Frequência;3599;https://http2.mlstatic.com/D_625729-MLB73546119383_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001010;Processador Intel Core I7-13700 2.5ghz Cache 30 Mb Lga1700;3028;https://http2.mlstatic.com/D_756627-MLB70004971130_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001011;Processador Intel Core I9-10900 Box - Bx8070110900;3564;https://http2.mlstatic.com/D_605137-MLB52197295391_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001012;Intel Processador Core i9-10900F Desktop 10 núcleos até 5,2 GHz sem processador gráfico LGA 1200 (chipset Intel 400) 65W;3159;https://http2.mlstatic.com/D_848235-MLB54743407269_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001012-1;Processador Gamer Intel Core I7-14700k Bx8071514700k  De 20 Núcleos E  5.6ghz De Frequência Com Gráfica Integrada;3449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001013;PROCESSADOR INTEL CORE I713700F 21GHz TURBO 52GHz 30MB LGA1700 13 GERACAO BX8071513700F;2729;https://http2.mlstatic.com/D_980588-MLB70004928626_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001013-1;Processador Intel I7-14700kf 20c 28t Raptorlake Refresh 14ªg;3295;https://http2.mlstatic.com/D_993705-MLB72546412595_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001013-2;Processador Intel Core I7-14700 Lga 1700 De 5,4 Ghz Bx8071514700;3380;https://http2.mlstatic.com/D_866463-MLB74546930669_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001014;Processador Intel Core I9-11900f Bx8070811900f De 8 Núcleos E  5.2ghz De Frequência;2380;https://http2.mlstatic.com/D_696464-MLB69221483182_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001014-1;Processador Intel Core I9-11900 Bx8070811900  De 8 Núcleos;2599;https://http2.mlstatic.com/D_859190-MLB73475156070_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001014-2;i9 11900 KF RATO ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001015;Processador Intel Core I7-13700kf 3.4ghz Max Turbo Lga1700;3169;https://http2.mlstatic.com/D_729837-MLB72020071371_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001016;Processador Intel Core I7-13700k Bx8071513700k De 16 Núcleos E  5.4ghz De Frequência Com Gráfica Integrada;3549;https://http2.mlstatic.com/D_695681-MLB54747148546_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001017;Intel CPU Core i7-12700F / 12/20 / 2.1GHz / 6xxChipset / BX8071512700F;2538;https://http2.mlstatic.com/D_814817-MLB53604344767_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001018;"Intel I7-12700 2.1GHZ LGA1700 25MB C/COOLER, PRETO, 1.8""x1.8"", BX8071512700";2691;https://http2.mlstatic.com/D_764365-MLB69144682609_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001019;Intel Processador Core i7-12700KF Desktop 12 (8P+4E) núcleos até 5,0 GHz Desbloqueado LGA1700 600 Série Chipset 125W;3016;https://http2.mlstatic.com/D_906677-MLB70327609061_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001020;Intel PROCESSADOR CORE I7-11700 2,5GHZ (TURBO 4,9GHZ) CACHE 16MB 8 NUCLEOS 16 THREADS 11ª GER LGA 1200 BX8070811700;2579;https://http2.mlstatic.com/D_668645-MLA46518329069_062021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001021;CPU INTEL I7-11700K 3.6GHZ LGA1200 16MB;2860;https://http2.mlstatic.com/D_773810-MLB72090974917_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001021-2;Processador Intel Core I7-11700kf - Bx8070811700kf;3060;https://http2.mlstatic.com/D_793004-MLB72090993183_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001022;Processador Gamer Intel Core I7-11700f Bx8070811700f  De 8 Núcleos E  4.9ghz De Frequência;2720;https://http2.mlstatic.com/D_993433-MLB52187642334_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001026;Processador Intel Core I7-3770 Cm8063701211600 De 4 Núcleos E  3.9ghz De Frequência Com Gráfica Integrada;369;https://http2.mlstatic.com/D_935270-MLB52222951590_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001033;PROCESSADOR INTEL CORE I7-10700F COMET LAKE 2.90 GHZ (UP TO 4.80 GHZ) 16MB - BX8070110700F - SEM VIDEO ON BOARD;1839;https://http2.mlstatic.com/D_767562-MLA44771865278_022021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001033-1;Processador Intel Core I7-10700f Bx8070110700f De 8 Núcleos E  4.8ghz De Frequência;1424;https://http2.mlstatic.com/D_664585-MLB54988978610_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001034;I7 10700 oem ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001036;Processador Intel Core I5 8500 4.1ghz Lga1151 8 Geração Oem;819;https://http2.mlstatic.com/D_740929-MLB54859668867_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001037;Processador Gamer Intel Core I5-7500 Bx80677i57500 De 4 Núcleos E  3.8ghz De Frequência Com Gráfica Integrada;529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001037-1;Processador Gamer Intel Core I5-7500 7ªger Gráfica Integrada;559;https://http2.mlstatic.com/D_875850-MLA41466977557_042020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001038;Processador Gamer Intel Core I5-8500t Cm8068403362509  De 6 Núcleos E  3.5ghz De Frequência Com Gráfica Integrada;729;https://http2.mlstatic.com/D_724783-MLA41463411190_042020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
